,Unnamed: 0,Rank,Movie,Studio,Total Gross,All Theaters,Opening Total,Opening Theaters,Open Date,Close Date,Year
1969,89,94,Billy Elliot,Focus,21995263.00,510,"$215,681 ",10,13-Oct,0,2000
1970,90,95,Boys and Girls,Dim.,21799652.00,1989,"$7,008,950 ",1983,16-Jun,0,2000
1971,91,96,Battlefield Earth,WB,21471685.00,3307,"$11,548,898 ",3307,12-May,0,2000
1972,92,97,Urban Legends: Final Cut,Sony,21468807.00,2539,"$8,505,513 ",2539,22-Sep,0,2000
1973,93,98,Down to You,Mira.,20069008.00,2003,"$7,602,507 ",1971,21-Jan,0,2000
1974,0,5,Rush Hour 2,NL,226164286.00,3118,"$67,408,222 ",3118,3-Aug,0,2001
1975,1,6,The Mummy Returns,Uni.,202019785.00,3553,"$68,139,035 ",3401,4-May,0,2001
1976,2,7,Pearl Harbor,BV,198542554.00,3255,"$59,078,912 ",3214,25-May,0,2001
1977,3,8,Ocean's Eleven,WB,183417150.00,3075,"$38,107,822 ",3075,7-Dec,0,2001
1978,4,9,Jurassic Park III,Uni.,181171875.00,3462,"$50,771,645 ",3434,18-Jul,0,2001
1979,5,10,Planet of the Apes (2001),Fox,180011740.00,3530,"$68,532,960 ",3500,27-Jul,0,2001
1980,6,11,A Beautiful Mind,Uni.,170742341.00,2250,"$367,151 ",11,21-Dec,0,2001
1981,7,12,Hannibal,MGM,165092268.00,3292,"$58,003,121 ",3230,9-Feb,0,2001
1982,8,13,American Pie 2,Uni.,145103595.00,3157,"$45,117,985 ",3063,10-Aug,0,2001
1983,9,14,The Fast and the Furious,Uni.,144533925.00,2899,"$40,089,015 ",2628,22-Jun,0,2001
1984,10,15,Lara Croft: Tomb Raider,Par.,131168070.00,3349,"$47,735,743 ",3308,15-Jun,0,2001
1985,11,16,Dr. Dolittle 2,Fox,112952899.00,3053,"$25,037,039 ",3049,22-Jun,0,2001
1986,12,17,Spy Kids,Mira.,112719001.00,3191,"$26,546,881 ",3104,30-Mar,0,2001
1987,13,18,Black Hawk Down,SonR,108638745.00,3143,"$179,823 ",4,28-Dec,0,2001
1988,14,19,The Princess Diaries,BV,108248956.00,2749,"$22,862,269 ",2537,3-Aug,0,2001
1989,15,20,Vanilla Sky,Par.,100618344.00,2842,"$25,015,518 ",2742,14-Dec,0,2001
1990,16,21,The Others,Mira.,96522687.00,2843,"$14,089,952 ",1678,10-Aug,0,2001
1991,17,22,Legally Blonde,MGM,96520674.00,2725,"$20,377,426 ",2620,13-Jul,0,2001
1992,18,23,America's Sweethearts,SonR,93607673.00,3011,"$30,181,877 ",3011,20-Jul,0,2001
1993,19,24,Cats & Dogs,WB,93385515.00,3040,"$21,707,617 ",3040,4-Jul,0,2001
1994,20,25,Save the Last Dance,Par.,91057006.00,2570,"$23,444,930 ",2230,12-Jan,0,2001
1995,21,26,Atlantis: The Lost Empire,BV,84056472.00,3071,"$329,011 ",2,8-Jun,0,2001
1996,22,27,Jimmy Neutron: Boy Genius,Par.,80936232.00,3151,"$13,832,786 ",3139,21-Dec,0,2001
1997,23,28,A.I. Artificial Intelligence,WB,78616689.00,3242,"$29,352,630 ",3242,29-Jun,0,2001
1998,24,29,Training Day,WB,76631907.00,2712,"$22,550,788 ",2712,5-Oct,0,2001
1999,25,30,Along Came a Spider,Par.,74078174.00,2573,"$16,712,407 ",2530,6-Apr,0,2001
2000,26,31,Bridget Jones's Diary,Mira.,71543427.00,2547,"$10,733,933 ",1611,13-Apr,0,2001
2001,27,32,Scary Movie 2,Mira.,71308997.00,3220,"$20,503,356 ",3220,4-Jul,0,2001
2002,28,33,The Score,Par.,71107711.00,2211,"$19,018,807 ",2129,13-Jul,0,2001
2003,29,34,Shallow Hal,Fox,70839203.00,2799,"$22,518,295 ",2770,9-Nov,0,2001
2004,30,35,Swordfish,WB,69772969.00,2688,"$18,145,632 ",2678,8-Jun,0,2001
2005,31,36,The Mexican,DW,66845033.00,3162,"$20,108,829 ",2951,2-Mar,0,2001
2006,32,37,Down to Earth,Par.,64186502.00,2521,"$17,268,883 ",2521,16-Feb,0,2001
2007,33,38,Spy Game,Uni.,62362560.00,2770,"$21,689,125 ",2770,21-Nov,0,2001
2008,34,39,The Wedding Planner,Sony,60400856.00,2785,"$13,510,293 ",2785,26-Jan,0,2001
2009,35,40,Behind Enemy Lines,Fox,58856790.00,2844,"$18,736,133 ",2770,30-Nov,0,2001
2010,36,41,Ali,Sony,58203105.00,2521,"$14,710,892 ",2446,25-Dec,0,2001
2011,37,42,The Animal,SonR,57743062.00,2788,"$19,610,520 ",2788,1-Jun,0,2001
2012,38,43,Moulin Rouge!,Fox,57386607.00,2283,"$167,540 ",2,18-May,0,2001
2013,39,44,Rat Race,Par.,56618055.00,2551,"$11,662,094 ",2550,17-Aug,0,2001
2014,40,45,A Knight's Tale,Sony,56569702.00,2980,"$16,511,391 ",2980,11-May,0,2001
2015,41,46,Don't Say a Word,Fox,55001642.00,2842,"$17,090,474 ",2802,28-Sep,0,2001
2016,42,47,Blow,NL,52990775.00,2249,"$12,443,461 ",2249,6-Apr,0,2001
2017,43,48,The Royal Tenenbaums,BV,52364010.00,999,"$276,981 ",5,14-Dec,0,2001
2018,44,49,Exit Wounds,WB,51758599.00,2830,"$18,485,586 ",2830,16-Mar,0,2001
2019,45,50,Enemy at the Gates,Par.,51401758.00,1724,"$13,810,266 ",1509,16-Mar,0,2001
2020,46,51,K-PAX,Uni.,50338485.00,2581,"$17,215,275 ",2541,26-Oct,0,2001
2021,47,52,Serendipity,Mira.,50294317.00,2610,"$13,309,241 ",2601,5-Oct,0,2001
2022,48,53,Kate and Leopold,Mira.,47121859.00,2467,"$9,725,408 ",2452,25-Dec,0,2001
2023,49,54,Domestic Disturbance,Par.,45246095.00,2910,"$14,033,112 ",2910,2-Nov,0,2001
2024,50,55,Zoolander,Par.,45172250.00,2522,"$15,525,043 ",2507,28-Sep,0,2001
2025,51,56,The One,SonR,43905746.00,2894,"$19,112,404 ",2894,2-Nov,0,2001
2026,52,57,Thirteen Ghosts,WB,41867960.00,2781,"$15,165,355 ",2781,26-Oct,0,2001
2027,53,58,Bandits,MGM,41575141.00,3207,"$13,050,700 ",3207,12-Oct,0,2001
2028,54,59,Gosford Park,USA,41308615.00,918,"$241,219 ",9,26-Dec,0,2001
2029,55,60,Heartbreakers,MGM,40336607.00,2751,"$11,801,323 ",2750,23-Mar,0,2001
2030,56,61,I Am Sam,NL,40311852.00,1450,"$41,779 ",2,28-Dec,0,2001
2031,57,62,Hardball,Par.,40222729.00,2314,"$9,386,342 ",2137,14-Sep,0,2001
2032,58,63,Evolution,DW,38345494.00,2613,"$13,408,351 ",2611,8-Jun,0,2001
2033,59,64,Not Another Teen Movie,Sony,38252284.00,2365,"$12,615,116 ",2365,14-Dec,0,2001
2034,60,65,Jeepers Creepers,UA,37904175.00,2944,"$13,106,108 ",2944,31-Aug,0,2001
2035,61,66,Kiss of the Dragon,Fox,36845124.00,2100,"$13,304,027 ",2025,6-Jul,0,2001
2036,62,67,Recess: School's Out,BV,36706141.00,2630,"$10,065,873 ",2624,16-Feb,0,2001
2037,63,68,In the Bedroom,Mira.,35930604.00,1103,"$93,972 ",4,23-Nov,0,2001
2038,64,69,Black Knight,Fox,33426971.00,2571,"$11,102,948 ",2571,21-Nov,0,2001
2039,65,70,See Spot Run,WB,33357476.00,2656,"$9,715,102 ",2656,2-Mar,0,2001
2040,66,71,Amelie,Mira.,33225499.00,303,"$136,470 ",3,2-Nov,0,2001
2041,67,72,Driven,WB,32720065.00,2905,"$12,174,504 ",2905,27-Apr,0,2001
2042,68,73,What's the Worst That Could Happen?,MGM,32269834.00,2675,"$13,049,114 ",2675,1-Jun,0,2001
2043,69,74,Final Fantasy: The Spirits Within,Sony,32131830.00,2649,"$11,408,853 ",2649,11-Jul,0,2001
2044,70,75,From Hell,Fox,31602566.00,2334,"$11,014,818 ",2305,19-Oct,0,2001
2045,71,76,Monster's Ball,Lions,31273922.00,714,"$110,552 ",7,26-Dec,0,2001
2046,72,77,How High,Uni.,31178740.00,1273,"$7,102,260 ",1266,21-Dec,0,2001
2047,73,78,Riding in Cars with Boys,Sony,30165536.00,2770,"$10,404,652 ",2770,19-Oct,0,2001
2048,74,79,Jay and Silent Bob Strike Back,Mira.,30085147.00,2765,"$11,018,543 ",2765,24-Aug,0,2001
2049,75,80,Double Take,BV,29831583.00,1631,"$11,736,236 ",1631,12-Jan,0,2001
2050,76,81,Baby Boy,Sony,28734552.00,1533,"$8,606,403 ",1533,27-Jun,0,2001
2051,77,82,The Majestic,WB,27807266.00,2361,"$4,904,339 ",2361,21-Dec,0,2001
2052,78,83,The Brothers,SGem,27457409.00,1378,"$10,302,846 ",1378,23-Mar,0,2001
2053,79,84,Someone Like You,Fox,27343067.00,2349,"$10,010,600 ",2345,30-Mar,0,2001
2054,80,85,Joe Dirt,Sony,27087695.00,2638,"$8,016,008 ",2638,11-Apr,0,2001
