Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name,Disney_Fox,Disney_Sony,Disney_Universal,Disney_Warner
Aviron Pictures,77876566,Aviron Pictures,1,Aviron Pictures,Aviron Pictures,Aviron Pictures,Aviron Pictures,Aviron Pictures
BH Tilt,73251896,Blumhouse Productions,1,BH Tilt,Blumhouse Productions,Blumhouse Productions,Blumhouse Productions,Blumhouse Productions
Fox Atomic,69820771,Walt Disney Studios Motion Pictures,1,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox
National Geographic Entertainment,69720221,Walt Disney Studios Motion Pictures,1,National Geographic Entertainment,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Music Box Films,65993131,Music Box Films,1,Music Box Films,Music Box Films,Music Box Films,Music Box Films,Music Box Films
Destination Films,65371630,Sony Pictures Releasing,1,Destination Films,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
Rocky Mountain Pictures,64379738,Rocky Mountain Pictures,1,Rocky Mountain Pictures,Rocky Mountain Pictures,Rocky Mountain Pictures,Rocky Mountain Pictures,Rocky Mountain Pictures
THINKFilm,62627691,THINKFilm,1,THINKFilm,THINKFilm,THINKFilm,THINKFilm,THINKFilm
Lorimar Motion Pictures,60679628,Warner Bros.,1,Lorimar Motion Pictures,Warner Bros.,Warner Bros.,Warner Bros.,Walt Disney Studios Motion Pictures
Studio 8,59868369,Fosun,1,Studio 8,Fosun,Fosun,Fosun,Fosun
Affirm Films,58109628,Sony Pictures Releasing,1,Affirm Films,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
Yari Film Group Releasing,57428811,Yari Film Group Releasing,1,Yari Film Group Releasing,Yari Film Group Releasing,Yari Film Group Releasing,Yari Film Group Releasing,Yari Film Group Releasing
Crown,56530035,Crown,1,Crown,Crown,Crown,Crown,Crown
FUNimation Entertainment,56039316,Sony Pictures Releasing,1,FUNimation Entertainment,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
Alliance Atlantis Vivafilm,52382245,Alliance Atlantis Vivafilm,1,Alliance Atlantis Vivafilm,Alliance Atlantis Vivafilm,Alliance Atlantis Vivafilm,Alliance Atlantis Vivafilm,Alliance Atlantis Vivafilm
FIP,52006218,FIP,1,FIP,FIP,FIP,FIP,FIP
Amazon Studios,50610092,Amazon Studios,1,Amazon Studios,Amazon Studios,Amazon Studios,Amazon Studios,Amazon Studios
EuropaCorp,46155394,EuropaCorp,1,EuropaCorp,EuropaCorp,EuropaCorp,EuropaCorp,EuropaCorp
Well Go USA Entertainment,44395247,Well Go USA Entertainment,1,Well Go USA Entertainment,Well Go USA Entertainment,Well Go USA Entertainment,Well Go USA Entertainment,Well Go USA Entertainment
First Look International,43074122,First Look International,1,First Look International,First Look International,First Look International,First Look International,First Look International
Cinecom Pictures,41144234,Cinecom Pictures,1,Cinecom Pictures,Cinecom Pictures,Cinecom Pictures,Cinecom Pictures,Cinecom Pictures
New Century,40964839,New Century,1,New Century,New Century,New Century,New Century,New Century
