Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name
Third Rail Releasing,1818170,Third Rail Releasing,0,Third Rail Releasing
Cineville,1731506,Cineville,0,Cineville
Libero,1706323,Libero,0,Libero
City Lights Pictures,1679968,City Lights Pictures,0,City Lights Pictures
Universal Home Video,1650000,Universal Home Video,0,Universal Home Video
First Independent Pictures,1597017,First Independent Pictures,0,First Independent Pictures
Monterey Media,1496599,Monterey Media,0,Monterey Media
Dada Films,1471475,Dada Films,0,Dada Films
Aascar Film,1449232,Aascar Film,0,Aascar Film
Seventh Art Releasing,1442309,Seventh Art Releasing,0,Seventh Art Releasing
Zipporah Films,1386657,Zipporah Films,0,Zipporah Films
Nocturnal Features,1371209,Nocturnal Features,0,Nocturnal Features
Tips,1352357,Tips,0,Tips
Video Sound,1342718,Video Sound,0,Video Sound
Four Seasons,1316495,Four Seasons,0,Four Seasons
Panorama Entertainment,1307122,Panorama Entertainment,0,Panorama Entertainment
Lorber Films,1294725,Lorber Films,0,Lorber Films
Balcony Releasing,1235480,Balcony Releasing,0,Balcony Releasing
Argot Pictures,1178777,Argot Pictures,0,Argot Pictures
Media Partners,1177927,Media Partners,0,Media Partners
CanZion Films,1155988,CanZion Films,0,CanZion Films
Milestone,1130077,Milestone,0,Milestone
Liberty Studios,1112592,Liberty Studios,0,Liberty Studios
SModcast Pictures,1104682,SModcast Pictures,0,SModcast Pictures
LifeWay Films,1102525,LifeWay Films,0,LifeWay Films
Kenn Viselman Presents,1065907,Kenn Viselman Presents,0,Kenn Viselman Presents
Ten Furlongs,1064454,Ten Furlongs,0,Ten Furlongs
Icarus Films,1062187,Icarus Films,0,Icarus Films
RCR Distribution,1034589,RCR Distribution,0,RCR Distribution
Republic Pictures (I),923418,Republic Pictures (I),0,Republic Pictures (I)
MAC Releasing,914711,MAC Releasing,0,MAC Releasing
Elephant Eye Films,910830,Elephant Eye Films,0,Elephant Eye Films
518 Media,895766,518 Media,0,518 Media
Candlelight Media Group,881787,Candlelight Media Group,0,Candlelight Media Group
Image Entertainment,879385,Image Entertainment,0,Image Entertainment
The Vladar Company,860119,The Vladar Company,0,The Vladar Company
Arrow Releasing,858111,Arrow Releasing,0,Arrow Releasing
Starz Digital Media,851623,Starz Digital Media,0,Starz Digital Media
Page 124 Productions,809590,Page 124 Productions,0,Page 124 Productions
Apollo Associates,770132,Apollo Associates,0,Apollo Associates
Arthouse Films,746157,Arthouse Films,0,Arthouse Films
NeoClassics Films,743675,NeoClassics Films,0,NeoClassics Films
The Film Desk,727034,The Film Desk,0,The Film Desk
Crane Movie Company,719556,Crane Movie Company,0,Crane Movie Company
Outrider Pictures,700617,Outrider Pictures,0,Outrider Pictures
Ketchup Entertainment,699167,Ketchup Entertainment,0,Ketchup Entertainment
Blue Fox Entertainment,698865,Blue Fox Entertainment,0,Blue Fox Entertainment
Sony Pictures Repertory,684254,Sony Pictures Releasing,1,Sony Pictures Releasing
Tugg,663775,Tugg,0,Tugg
Grasshopper Film,662509,Grasshopper Film,0,Grasshopper Film
ImaginAsian Pictures,642061,ImaginAsian Pictures,0,ImaginAsian Pictures
Pan Media & Entertainment,641492,Pan Media & Entertainment,0,Pan Media & Entertainment
Access Entertainment,634566,Access Entertainment,0,Access Entertainment
The Film Collaborative,622392,The Film Collaborative,0,The Film Collaborative
Maya Entertainment,619648,Maya Entertainment,0,Maya Entertainment
Northern Arts Entertainment,619250,Northern Arts Entertainment,0,Northern Arts Entertainment
RAM Entertainment,617236,RAM Entertainment,0,RAM Entertainment
Silver Nitrate,612001,Silver Nitrate,0,Silver Nitrate
Matson Films,605040,Matson Films,0,Matson Films
Caledonia Pictures,595505,Caledonia Pictures,0,Caledonia Pictures
Sundance Film Series,594032,Sundance Film Series,0,Sundance Film Series
ABKCO Films,591721,ABKCO Films,0,ABKCO Films
Long Shot Factory,589754,Long Shot Factory,0,Long Shot Factory
International Film Marketing,583800,International Film Marketing,0,International Film Marketing
1091 Media,578099,1091 Media,0,1091 Media
Outsider Films,567907,Outsider Films,0,Outsider Films
Ocean Avenue Entertainment,549185,Ocean Avenue Entertainment,0,Ocean Avenue Entertainment
American Experience Films,523749,American Experience Films,0,American Experience Films
Ciesla Foundation,519525,Ciesla Foundation,0,Ciesla Foundation
American Zoetrope,518522,American Zoetrope,0,American Zoetrope
Echo Bridge Entertainment,517185,Echo Bridge Entertainment,0,Echo Bridge Entertainment
Big World Pictures,504426,Big World Pictures,0,Big World Pictures
XLrator Media,498369,XLrator Media,0,XLrator Media
MPI Media Group,482573,MPI Media Group,0,MPI Media Group
Five Sisters Productions,469234,Five Sisters Productions,0,Five Sisters Productions
JBG Pictures,466505,JBG Pictures,0,JBG Pictures
Reliance Entertainment,461863,Reliance Entertainment,0,Reliance Entertainment
Cyan Pictures,425218,Cyan Pictures,0,Cyan Pictures
Bond/360,414470,Bond/360,0,Bond/360
Gaumont British Picture Corporation,411318,Gaumont British Picture Corporation,0,Gaumont British Picture Corporation
Fabrication Films,400102,Fabrication Films,0,Fabrication Films
Full Circle Releasing,397641,Full Circle Releasing,0,Full Circle Releasing
Loki Films,390019,Loki Films,0,Loki Films
Liberation Entertainment,387008,Liberation Entertainment,0,Liberation Entertainment
Lionsgate Premiere,380678,Lionsgate Premiere,0,Lionsgate Premiere
Cinema Purgatorio,375840,Cinema Purgatorio,0,Cinema Purgatorio
CMC Pictures Holdings,371396,CMC Pictures Holdings,0,CMC Pictures Holdings
Peace Film,369129,Peace Film,0,Peace Film
Expanded Entertainment,367789,Expanded Entertainment,0,Expanded Entertainment
Cinetel,363953,Cinetel,0,Cinetel
Phaedra Cinema,360882,Phaedra Cinema,0,Phaedra Cinema
Magic Lamp,353689,Magic Lamp,0,Magic Lamp
Blue Collar Releasing,352810,Blue Collar Releasing,0,Blue Collar Releasing
Sky Island Films,343775,Sky Island Films,0,Sky Island Films
Circle Films,336811,Circle Films,0,Circle Films
Arts Alliance America,321702,Arts Alliance America,0,Arts Alliance America
Banner Entertainment,318809,Banner Entertainment,0,Banner Entertainment
Forewarned,316554,Forewarned,0,Forewarned
Proud Mother Pictures,310110,Proud Mother Pictures,0,Proud Mother Pictures
Empowerment Project,309596,Empowerment Project,0,Empowerment Project
Turbulent Arts,301548,Turbulent Arts,0,Turbulent Arts
Senator Distribution,300000,Senator Distribution,0,Senator Distribution
Cinema Service,298347,Cinema Service,0,Cinema Service
Slugger Pictures,294758,Slugger Pictures,0,Slugger Pictures
JSC Entertainment,294039,JSC Entertainment,0,JSC Entertainment
Metrograph Pictures,281717,Metrograph Pictures,0,Metrograph Pictures
Outsider Pictures,280673,Outsider Pictures,0,Outsider Pictures
Midnight Movies,271000,Midnight Movies,0,Midnight Movies
Main Street Films,258656,Main Street Films,0,Main Street Films
Mitropoulos Films,258191,Mitropoulos Films,0,Mitropoulos Films
Arrow Films,255161,Arrow Films,0,Arrow Films
Super Chief Films,250992,Super Chief Films,0,Super Chief Films
Lovett Releasing,249564,Lovett Releasing,0,Lovett Releasing
Arab Film Distribution,245974,Arab Film Distribution,0,Arab Film Distribution
BritBox,240715,BritBox,0,BritBox
Sumerian Films,237708,Sumerian Films,0,Sumerian Films
Universal Classics,237000,Universal Classics,0,Universal Classics
CFI Releasing,236661,CFI Releasing,0,CFI Releasing
Unico Entertainment,235503,Unico Entertainment,0,Unico Entertainment
Arrival Pictures,230465,Arrival Pictures,0,Arrival Pictures
